radio rodja,http://radioislamindonesia.com/rodja.mp3
kwgs net 1 ,http://utulsa.streamguys1.com/KWGSHD1-MP3
elshinta ,https://stream-ssl.arenastreaming.com:8000/jakarta
sonora fm,http://202.147.199.99:8000/sonorafm
erte fm ,http://202.147.199.99:8000/ertefm
KBRI radio,https://i.klikhost.com/8056/kbr
Dakta radio,https://radio.beta.noice.id/proxy?url=http://175.103.48.4:9302/;
smart FM,http://live.smartfm.com:9128/;
surabaya radio,http://radio.suarasurabaya.net:8000/stream
trijaya FM,https://streaming.mnctrijaya.com/trijaya
global fm ,https://streaming.globalfmjakarta.com/globalfm
voice ID ,https://voinews.id/streaming_en/id.html
PR bandung,https://streaming.prfmnews.com/prfm
prambors FM,http://streaming.pramborsfm.com:8000/pramborsjakarta
Delta FM,http://streaming.deltafm.net:8000/deltajakarta
